Fit_max,IM_max,Ld,RW
87,92,-5.0,0.1
89,106,-4.8,0.1
128,92,-4.6,0.1
93,84,-4.3999999999999995,0.1
98,98,-4.199999999999999,0.1
115,89,-3.999999999999999,0.1
139,110,-3.799999999999999,0.1
142,90,-3.5999999999999988,0.1
130,134,-3.3999999999999986,0.1
147,139,-3.1999999999999984,0.1
152,166,-2.9999999999999982,0.1
158,161,-2.799999999999998,0.1
148,162,-2.599999999999998,0.1
150,149,-2.3999999999999977,0.1
156,147,-2.1999999999999975,0.1
148,134,-1.9999999999999973,0.1
156,130,-1.7999999999999972,0.1
151,150,-1.599999999999997,0.1
155,159,-1.3999999999999968,0.1
165,165,-1.1999999999999966,0.1
166,162,-0.9999999999999964,0.1
166,152,-0.7999999999999963,0.1
164,165,-0.5999999999999961,0.1
159,148,-0.3999999999999959,0.1
155,142,-0.19999999999999574,0.1
164,164,4.440892098500626e-15,0.1
169,163,0.20000000000000462,0.1
161,168,0.4000000000000048,0.1
168,157,0.600000000000005,0.1
155,132,0.8000000000000052,0.1
157,156,1.0000000000000053,0.1
153,143,1.2000000000000055,0.1
154,137,1.4000000000000057,0.1
144,127,1.6000000000000059,0.1
158,161,1.800000000000006,0.1
147,104,2.000000000000006,0.1
145,114,2.2000000000000064,0.1
146,149,2.4000000000000066,0.1
146,137,2.6000000000000068,0.1
138,110,2.800000000000007,0.1
96,101,3.000000000000007,0.1
128,89,3.2000000000000064,0.1
116,100,3.4000000000000075,0.1
116,115,3.6000000000000085,0.1
99,99,3.800000000000008,0.1
101,89,4.000000000000007,0.1
88,107,4.200000000000008,0.1
87,82,4.400000000000009,0.1
79,94,4.6000000000000085,0.1
90,99,4.800000000000008,0.1
81,69,5.000000000000009,0.1
88,89,-5.0,0.2
94,85,-4.8,0.2
74,90,-4.6,0.2
101,121,-4.3999999999999995,0.2
89,92,-4.199999999999999,0.2
89,74,-3.999999999999999,0.2
93,150,-3.799999999999999,0.2
102,90,-3.5999999999999988,0.2
134,98,-3.3999999999999986,0.2
120,109,-3.1999999999999984,0.2
140,139,-2.9999999999999982,0.2
143,156,-2.799999999999998,0.2
140,112,-2.599999999999998,0.2
155,153,-2.3999999999999977,0.2
159,124,-2.1999999999999975,0.2
148,156,-1.9999999999999973,0.2
153,164,-1.7999999999999972,0.2
164,136,-1.599999999999997,0.2
148,155,-1.3999999999999968,0.2
152,163,-1.1999999999999966,0.2
155,135,-0.9999999999999964,0.2
153,169,-0.7999999999999963,0.2
145,167,-0.5999999999999961,0.2
164,150,-0.3999999999999959,0.2
162,156,-0.19999999999999574,0.2
162,157,4.440892098500626e-15,0.2
161,160,0.20000000000000462,0.2
147,139,0.4000000000000048,0.2
159,169,0.600000000000005,0.2
158,150,0.8000000000000052,0.2
149,161,1.0000000000000053,0.2
145,138,1.2000000000000055,0.2
150,160,1.4000000000000057,0.2
153,126,1.6000000000000059,0.2
147,153,1.800000000000006,0.2
155,96,2.000000000000006,0.2
142,107,2.2000000000000064,0.2
116,93,2.4000000000000066,0.2
130,141,2.6000000000000068,0.2
123,139,2.800000000000007,0.2
97,90,3.000000000000007,0.2
94,103,3.2000000000000064,0.2
89,107,3.4000000000000075,0.2
87,100,3.6000000000000085,0.2
80,91,3.800000000000008,0.2
83,98,4.000000000000007,0.2
85,92,4.200000000000008,0.2
83,86,4.400000000000009,0.2
78,69,4.6000000000000085,0.2
80,91,4.800000000000008,0.2
79,75,5.000000000000009,0.2
85,105,-5.0,0.30000000000000004
79,75,-4.8,0.30000000000000004
80,94,-4.6,0.30000000000000004
83,90,-4.3999999999999995,0.30000000000000004
77,74,-4.199999999999999,0.30000000000000004
73,83,-3.999999999999999,0.30000000000000004
83,77,-3.799999999999999,0.30000000000000004
82,89,-3.5999999999999988,0.30000000000000004
120,111,-3.3999999999999986,0.30000000000000004
87,99,-3.1999999999999984,0.30000000000000004
95,89,-2.9999999999999982,0.30000000000000004
130,103,-2.799999999999998,0.30000000000000004
108,81,-2.599999999999998,0.30000000000000004
123,101,-2.3999999999999977,0.30000000000000004
100,152,-2.1999999999999975,0.30000000000000004
143,137,-1.9999999999999973,0.30000000000000004
140,107,-1.7999999999999972,0.30000000000000004
152,150,-1.599999999999997,0.30000000000000004
151,135,-1.3999999999999968,0.30000000000000004
132,115,-1.1999999999999966,0.30000000000000004
148,139,-0.9999999999999964,0.30000000000000004
142,163,-0.7999999999999963,0.30000000000000004
153,136,-0.5999999999999961,0.30000000000000004
165,116,-0.3999999999999959,0.30000000000000004
151,143,-0.19999999999999574,0.30000000000000004
140,123,4.440892098500626e-15,0.30000000000000004
136,116,0.20000000000000462,0.30000000000000004
169,155,0.4000000000000048,0.30000000000000004
105,102,0.600000000000005,0.30000000000000004
136,122,0.8000000000000052,0.30000000000000004
150,102,1.0000000000000053,0.30000000000000004
145,129,1.2000000000000055,0.30000000000000004
103,127,1.4000000000000057,0.30000000000000004
133,85,1.6000000000000059,0.30000000000000004
123,95,1.800000000000006,0.30000000000000004
98,122,2.000000000000006,0.30000000000000004
132,108,2.2000000000000064,0.30000000000000004
73,90,2.4000000000000066,0.30000000000000004
85,80,2.6000000000000068,0.30000000000000004
91,122,2.800000000000007,0.30000000000000004
87,107,3.000000000000007,0.30000000000000004
88,65,3.2000000000000064,0.30000000000000004
79,72,3.4000000000000075,0.30000000000000004
77,71,3.6000000000000085,0.30000000000000004
77,106,3.800000000000008,0.30000000000000004
86,75,4.000000000000007,0.30000000000000004
69,85,4.200000000000008,0.30000000000000004
72,91,4.400000000000009,0.30000000000000004
70,82,4.6000000000000085,0.30000000000000004
68,58,4.800000000000008,0.30000000000000004
72,79,5.000000000000009,0.30000000000000004
67,70,-5.0,0.4
61,58,-4.8,0.4
73,89,-4.6,0.4
70,70,-4.3999999999999995,0.4
69,64,-4.199999999999999,0.4
78,110,-3.999999999999999,0.4
70,69,-3.799999999999999,0.4
77,92,-3.5999999999999988,0.4
70,76,-3.3999999999999986,0.4
80,90,-3.1999999999999984,0.4
65,63,-2.9999999999999982,0.4
80,115,-2.799999999999998,0.4
96,115,-2.599999999999998,0.4
79,82,-2.3999999999999977,0.4
82,92,-2.1999999999999975,0.4
67,75,-1.9999999999999973,0.4
78,102,-1.7999999999999972,0.4
68,83,-1.599999999999997,0.4
83,93,-1.3999999999999968,0.4
75,94,-1.1999999999999966,0.4
63,98,-0.9999999999999964,0.4
88,117,-0.7999999999999963,0.4
83,85,-0.5999999999999961,0.4
87,100,-0.3999999999999959,0.4
130,93,-0.19999999999999574,0.4
78,99,4.440892098500626e-15,0.4
90,97,0.20000000000000462,0.4
73,56,0.4000000000000048,0.4
90,100,0.600000000000005,0.4
92,115,0.8000000000000052,0.4
77,77,1.0000000000000053,0.4
79,95,1.2000000000000055,0.4
69,82,1.4000000000000057,0.4
80,86,1.6000000000000059,0.4
75,91,1.800000000000006,0.4
77,90,2.000000000000006,0.4
70,72,2.2000000000000064,0.4
69,103,2.4000000000000066,0.4
66,92,2.6000000000000068,0.4
77,102,2.800000000000007,0.4
71,87,3.000000000000007,0.4
71,89,3.2000000000000064,0.4
72,59,3.4000000000000075,0.4
64,57,3.6000000000000085,0.4
74,65,3.800000000000008,0.4
67,65,4.000000000000007,0.4
73,71,4.200000000000008,0.4
62,70,4.400000000000009,0.4
73,77,4.6000000000000085,0.4
59,70,4.800000000000008,0.4
62,71,5.000000000000009,0.4
66,83,-5.0,0.5
57,54,-4.8,0.5
59,85,-4.6,0.5
68,76,-4.3999999999999995,0.5
62,51,-4.199999999999999,0.5
61,70,-3.999999999999999,0.5
57,56,-3.799999999999999,0.5
64,93,-3.5999999999999988,0.5
65,62,-3.3999999999999986,0.5
58,72,-3.1999999999999984,0.5
69,73,-2.9999999999999982,0.5
61,90,-2.799999999999998,0.5
69,78,-2.599999999999998,0.5
64,71,-2.3999999999999977,0.5
64,61,-2.1999999999999975,0.5
62,55,-1.9999999999999973,0.5
68,71,-1.7999999999999972,0.5
66,70,-1.599999999999997,0.5
62,54,-1.3999999999999968,0.5
75,73,-1.1999999999999966,0.5
70,108,-0.9999999999999964,0.5
64,73,-0.7999999999999963,0.5
70,85,-0.5999999999999961,0.5
59,48,-0.3999999999999959,0.5
67,67,-0.19999999999999574,0.5
69,88,4.440892098500626e-15,0.5
77,97,0.20000000000000462,0.5
64,69,0.4000000000000048,0.5
64,66,0.600000000000005,0.5
70,78,0.8000000000000052,0.5
67,64,1.0000000000000053,0.5
79,78,1.2000000000000055,0.5
60,84,1.4000000000000057,0.5
67,55,1.6000000000000059,0.5
66,61,1.800000000000006,0.5
65,65,2.000000000000006,0.5
67,58,2.2000000000000064,0.5
67,63,2.4000000000000066,0.5
68,59,2.6000000000000068,0.5
63,46,2.800000000000007,0.5
62,54,3.000000000000007,0.5
60,63,3.2000000000000064,0.5
64,74,3.4000000000000075,0.5
62,69,3.6000000000000085,0.5
56,61,3.800000000000008,0.5
63,73,4.000000000000007,0.5
65,84,4.200000000000008,0.5
59,59,4.400000000000009,0.5
56,59,4.6000000000000085,0.5
63,85,4.800000000000008,0.5
59,57,5.000000000000009,0.5
51,40,-5.0,0.6
57,60,-4.8,0.6
53,43,-4.6,0.6
51,55,-4.3999999999999995,0.6
56,44,-4.199999999999999,0.6
52,62,-3.999999999999999,0.6
56,53,-3.799999999999999,0.6
62,65,-3.5999999999999988,0.6
58,67,-3.3999999999999986,0.6
57,69,-3.1999999999999984,0.6
55,62,-2.9999999999999982,0.6
65,71,-2.799999999999998,0.6
54,62,-2.599999999999998,0.6
60,86,-2.3999999999999977,0.6
56,65,-2.1999999999999975,0.6
57,64,-1.9999999999999973,0.6
53,28,-1.7999999999999972,0.6
56,57,-1.599999999999997,0.6
60,72,-1.3999999999999968,0.6
55,65,-1.1999999999999966,0.6
59,64,-0.9999999999999964,0.6
55,93,-0.7999999999999963,0.6
59,69,-0.5999999999999961,0.6
57,46,-0.3999999999999959,0.6
55,51,-0.19999999999999574,0.6
56,77,4.440892098500626e-15,0.6
54,54,0.20000000000000462,0.6
56,61,0.4000000000000048,0.6
54,56,0.600000000000005,0.6
54,55,0.8000000000000052,0.6
56,60,1.0000000000000053,0.6
63,63,1.2000000000000055,0.6
61,38,1.4000000000000057,0.6
65,76,1.6000000000000059,0.6
58,82,1.800000000000006,0.6
53,64,2.000000000000006,0.6
56,56,2.2000000000000064,0.6
56,45,2.4000000000000066,0.6
58,56,2.6000000000000068,0.6
54,43,2.800000000000007,0.6
59,100,3.000000000000007,0.6
52,57,3.2000000000000064,0.6
54,68,3.4000000000000075,0.6
56,47,3.6000000000000085,0.6
56,43,3.800000000000008,0.6
52,44,4.000000000000007,0.6
53,55,4.200000000000008,0.6
52,49,4.400000000000009,0.6
54,52,4.6000000000000085,0.6
54,53,4.800000000000008,0.6
53,47,5.000000000000009,0.6
48,43,-5.0,0.7000000000000001
44,41,-4.8,0.7000000000000001
48,48,-4.6,0.7000000000000001
46,50,-4.3999999999999995,0.7000000000000001
45,46,-4.199999999999999,0.7000000000000001
47,38,-3.999999999999999,0.7000000000000001
49,38,-3.799999999999999,0.7000000000000001
49,39,-3.5999999999999988,0.7000000000000001
44,50,-3.3999999999999986,0.7000000000000001
46,47,-3.1999999999999984,0.7000000000000001
45,39,-2.9999999999999982,0.7000000000000001
48,46,-2.799999999999998,0.7000000000000001
45,34,-2.599999999999998,0.7000000000000001
47,55,-2.3999999999999977,0.7000000000000001
50,50,-2.1999999999999975,0.7000000000000001
47,35,-1.9999999999999973,0.7000000000000001
43,41,-1.7999999999999972,0.7000000000000001
50,65,-1.599999999999997,0.7000000000000001
49,42,-1.3999999999999968,0.7000000000000001
51,61,-1.1999999999999966,0.7000000000000001
51,45,-0.9999999999999964,0.7000000000000001
43,36,-0.7999999999999963,0.7000000000000001
48,53,-0.5999999999999961,0.7000000000000001
48,55,-0.3999999999999959,0.7000000000000001
46,43,-0.19999999999999574,0.7000000000000001
50,47,4.440892098500626e-15,0.7000000000000001
53,47,0.20000000000000462,0.7000000000000001
57,50,0.4000000000000048,0.7000000000000001
48,34,0.600000000000005,0.7000000000000001
47,29,0.8000000000000052,0.7000000000000001
51,51,1.0000000000000053,0.7000000000000001
52,44,1.2000000000000055,0.7000000000000001
50,51,1.4000000000000057,0.7000000000000001
49,55,1.6000000000000059,0.7000000000000001
52,55,1.800000000000006,0.7000000000000001
44,37,2.000000000000006,0.7000000000000001
47,44,2.2000000000000064,0.7000000000000001
44,38,2.4000000000000066,0.7000000000000001
45,36,2.6000000000000068,0.7000000000000001
48,57,2.800000000000007,0.7000000000000001
48,37,3.000000000000007,0.7000000000000001
54,39,3.2000000000000064,0.7000000000000001
49,51,3.4000000000000075,0.7000000000000001
53,40,3.6000000000000085,0.7000000000000001
48,32,3.800000000000008,0.7000000000000001
46,52,4.000000000000007,0.7000000000000001
54,43,4.200000000000008,0.7000000000000001
47,31,4.400000000000009,0.7000000000000001
41,45,4.6000000000000085,0.7000000000000001
48,44,4.800000000000008,0.7000000000000001
51,48,5.000000000000009,0.7000000000000001
41,39,-5.0,0.8
44,44,-4.8,0.8
41,24,-4.6,0.8
41,45,-4.3999999999999995,0.8
41,33,-4.199999999999999,0.8
45,36,-3.999999999999999,0.8
48,48,-3.799999999999999,0.8
41,26,-3.5999999999999988,0.8
45,50,-3.3999999999999986,0.8
40,49,-3.1999999999999984,0.8
40,43,-2.9999999999999982,0.8
44,42,-2.799999999999998,0.8
42,34,-2.599999999999998,0.8
41,27,-2.3999999999999977,0.8
44,48,-2.1999999999999975,0.8
41,42,-1.9999999999999973,0.8
45,54,-1.7999999999999972,0.8
40,38,-1.599999999999997,0.8
41,41,-1.3999999999999968,0.8
46,40,-1.1999999999999966,0.8
45,38,-0.9999999999999964,0.8
40,37,-0.7999999999999963,0.8
45,41,-0.5999999999999961,0.8
40,37,-0.3999999999999959,0.8
42,34,-0.19999999999999574,0.8
46,44,4.440892098500626e-15,0.8
43,50,0.20000000000000462,0.8
43,47,0.4000000000000048,0.8
39,42,0.600000000000005,0.8
44,57,0.8000000000000052,0.8
38,28,1.0000000000000053,0.8
40,40,1.2000000000000055,0.8
48,51,1.4000000000000057,0.8
40,32,1.6000000000000059,0.8
42,40,1.800000000000006,0.8
41,50,2.000000000000006,0.8
46,49,2.2000000000000064,0.8
39,34,2.4000000000000066,0.8
40,34,2.6000000000000068,0.8
42,30,2.800000000000007,0.8
42,39,3.000000000000007,0.8
40,30,3.2000000000000064,0.8
41,35,3.4000000000000075,0.8
46,54,3.6000000000000085,0.8
41,43,3.800000000000008,0.8
42,41,4.000000000000007,0.8
42,37,4.200000000000008,0.8
44,51,4.400000000000009,0.8
41,51,4.6000000000000085,0.8
44,37,4.800000000000008,0.8
44,40,5.000000000000009,0.8
35,27,-5.0,0.9
38,28,-4.8,0.9
39,40,-4.6,0.9
38,29,-4.3999999999999995,0.9
38,33,-4.199999999999999,0.9
39,39,-3.999999999999999,0.9
34,26,-3.799999999999999,0.9
32,30,-3.5999999999999988,0.9
34,30,-3.3999999999999986,0.9
38,49,-3.1999999999999984,0.9
36,42,-2.9999999999999982,0.9
30,30,-2.799999999999998,0.9
40,39,-2.599999999999998,0.9
39,42,-2.3999999999999977,0.9
40,38,-2.1999999999999975,0.9
40,45,-1.9999999999999973,0.9
32,39,-1.7999999999999972,0.9
34,20,-1.599999999999997,0.9
31,21,-1.3999999999999968,0.9
39,34,-1.1999999999999966,0.9
36,29,-0.9999999999999964,0.9
37,35,-0.7999999999999963,0.9
33,27,-0.5999999999999961,0.9
33,22,-0.3999999999999959,0.9
38,28,-0.19999999999999574,0.9
40,52,4.440892098500626e-15,0.9
33,35,0.20000000000000462,0.9
35,25,0.4000000000000048,0.9
41,37,0.600000000000005,0.9
34,25,0.8000000000000052,0.9
35,36,1.0000000000000053,0.9
39,33,1.2000000000000055,0.9
38,41,1.4000000000000057,0.9
33,26,1.6000000000000059,0.9
31,34,1.800000000000006,0.9
35,29,2.000000000000006,0.9
36,38,2.2000000000000064,0.9
36,28,2.4000000000000066,0.9
41,44,2.6000000000000068,0.9
33,39,2.800000000000007,0.9
36,32,3.000000000000007,0.9
37,27,3.2000000000000064,0.9
38,37,3.4000000000000075,0.9
38,38,3.6000000000000085,0.9
37,37,3.800000000000008,0.9
39,44,4.000000000000007,0.9
36,31,4.200000000000008,0.9
35,36,4.400000000000009,0.9
39,30,4.6000000000000085,0.9
36,29,4.800000000000008,0.9
37,40,5.000000000000009,0.9
30,34,-5.0,1.0
30,33,-4.8,1.0
35,24,-4.6,1.0
25,41,-4.3999999999999995,1.0
29,32,-4.199999999999999,1.0
30,28,-3.999999999999999,1.0
28,25,-3.799999999999999,1.0
29,17,-3.5999999999999988,1.0
33,31,-3.3999999999999986,1.0
32,30,-3.1999999999999984,1.0
30,32,-2.9999999999999982,1.0
29,32,-2.799999999999998,1.0
32,42,-2.599999999999998,1.0
32,25,-2.3999999999999977,1.0
31,40,-2.1999999999999975,1.0
28,32,-1.9999999999999973,1.0
33,26,-1.7999999999999972,1.0
32,31,-1.599999999999997,1.0
30,26,-1.3999999999999968,1.0
33,45,-1.1999999999999966,1.0
31,21,-0.9999999999999964,1.0
35,35,-0.7999999999999963,1.0
29,26,-0.5999999999999961,1.0
36,27,-0.3999999999999959,1.0
33,25,-0.19999999999999574,1.0
32,45,4.440892098500626e-15,1.0
33,30,0.20000000000000462,1.0
33,33,0.4000000000000048,1.0
29,29,0.600000000000005,1.0
30,32,0.8000000000000052,1.0
32,43,1.0000000000000053,1.0
32,32,1.2000000000000055,1.0
32,30,1.4000000000000057,1.0
32,29,1.6000000000000059,1.0
28,24,1.800000000000006,1.0
32,38,2.000000000000006,1.0
38,27,2.2000000000000064,1.0
34,38,2.4000000000000066,1.0
31,39,2.6000000000000068,1.0
32,34,2.800000000000007,1.0
34,31,3.000000000000007,1.0
29,35,3.2000000000000064,1.0
35,31,3.4000000000000075,1.0
28,23,3.6000000000000085,1.0
33,41,3.800000000000008,1.0
33,38,4.000000000000007,1.0
37,28,4.200000000000008,1.0
30,31,4.400000000000009,1.0
30,29,4.6000000000000085,1.0
33,41,4.800000000000008,1.0
31,27,5.000000000000009,1.0
26,26,-5.0,1.1
27,29,-4.8,1.1
29,26,-4.6,1.1
29,23,-4.3999999999999995,1.1
27,25,-4.199999999999999,1.1
26,26,-3.999999999999999,1.1
30,29,-3.799999999999999,1.1
26,32,-3.5999999999999988,1.1
29,25,-3.3999999999999986,1.1
29,27,-3.1999999999999984,1.1
29,29,-2.9999999999999982,1.1
24,18,-2.799999999999998,1.1
29,34,-2.599999999999998,1.1
28,23,-2.3999999999999977,1.1
27,17,-2.1999999999999975,1.1
27,23,-1.9999999999999973,1.1
28,30,-1.7999999999999972,1.1
24,20,-1.599999999999997,1.1
25,36,-1.3999999999999968,1.1
19,17,-1.1999999999999966,1.1
27,30,-0.9999999999999964,1.1
28,27,-0.7999999999999963,1.1
27,28,-0.5999999999999961,1.1
27,30,-0.3999999999999959,1.1
25,34,-0.19999999999999574,1.1
31,23,4.440892098500626e-15,1.1
26,25,0.20000000000000462,1.1
27,27,0.4000000000000048,1.1
30,24,0.600000000000005,1.1
25,27,0.8000000000000052,1.1
29,23,1.0000000000000053,1.1
29,19,1.2000000000000055,1.1
28,23,1.4000000000000057,1.1
26,21,1.6000000000000059,1.1
27,20,1.800000000000006,1.1
29,26,2.000000000000006,1.1
26,32,2.2000000000000064,1.1
25,32,2.4000000000000066,1.1
28,31,2.6000000000000068,1.1
30,24,2.800000000000007,1.1
30,34,3.000000000000007,1.1
29,37,3.2000000000000064,1.1
25,23,3.4000000000000075,1.1
25,25,3.6000000000000085,1.1
31,31,3.800000000000008,1.1
23,34,4.000000000000007,1.1
26,23,4.200000000000008,1.1
28,25,4.400000000000009,1.1
23,15,4.6000000000000085,1.1
28,24,4.800000000000008,1.1
29,23,5.000000000000009,1.1
24,29,-5.0,1.2000000000000002
21,16,-4.8,1.2000000000000002
21,21,-4.6,1.2000000000000002
23,21,-4.3999999999999995,1.2000000000000002
26,29,-4.199999999999999,1.2000000000000002
25,20,-3.999999999999999,1.2000000000000002
22,23,-3.799999999999999,1.2000000000000002
23,29,-3.5999999999999988,1.2000000000000002
